name	count	lifetime	travel	thickness	length	angle	skew	tailFade	aa	originMode	spawnScaleX	spawnScaleY	originOffsetX	originOffsetY	interval	animPattern	centerGap	easing	startTime	duration	blendMode	depthStrength	lineCap	colorMode	colorPreset	spawnSource	hideElement	lengthLinkage	lengthLinkageRate	thicknessLinkage	thicknessLinkageRate	travelLinkage	travelLinkageRate
風をまとう要素	80	24	200	2	80	180	-1	0	0	1	100	140	0	0	120	1	0	2	0	0	4	4	1	3	2	2	0	2	200	2	16	2	200
流れ星	200	30	400	3	60	15	0	1	0	2	120	120	0	0	0	1	0	1	0	0	1	5	2	3	25	1	0	0	100	0	100	0	100
ゆっくり背景	120	600	600	40	300	-35	0	0	0	1	100	130	0	-200	300	1	0.2	0	-600	0	1	10	2	3	33	1	0	0	100	0	100	0	100
ゆっくり背景リバース	120	600	600	40	300	145	0	0	0	1	100	130	0	-200	300	3	0.2	0	-600	0	1	10	2	3	12	1	0	0	100	0	100	0	100
トランジション	180	40	500	200	1200	-35	-0.7	0	0	1	120	120	0	0	0	1	0	6	5	30	2	3	1	3	6	1	1	0	100	0	100	0	100
未知の空間	2000	40	1600	4	400	0	0	0	0	1	150	95	0	0	120	1	0.24	11	-300	0	1	10	1	3	24	1	0	0	100	0	100	0	100
宇宙空間	3000	120	300	2	20	-15	0	0	0	1	100	100	0	0	120	1	0	1	-300	0	1	10	1	3	25	1	0	0	100	0	100	0	100
雨	900	60	400	1	30	90	0	0.2	0	3	100	5	0	-20	180	1	0	26	-100	0	3	3	1	3	14	2	0	0	100	0	100	0	100
地下水路	200	600	200	5	50	90	0	0	0	3	100	5	0	400	60	1	0	23	-300	0	1	4	2	3	32	1	0	0	100	0	100	2	100
